MATRIX_NAME=OPGAVETYPE;;;;
MATRIX_DIMENSIONS=2;;;;
MATRIX_CELLTYPE=INTEGER;;;;
MATRIX_XTYPE=OPGAVETYPE;;;;
MATRIX_YTYPE=OpgavetypeID;;;;
MATRIX_ZTYPE=null;;;;
MATRIX_USE_DEFAULT=NO;;;;
MATRIX_DEFAULT=false;;;;
MATRIX_EMPTY_CELL_SIGN=-;;;;
IndsatsTypeEnum;IndsatsParameterNavnEnum (Udviklernes navn);SKAT opgavetypenavn;EFIVaerdiTypeKode;DefaultValue
;UDLAEG_OPGAVETYPE_TILSIGELSE_UDLAEGSFORRETNING;UDLAEG_TILSIGELSE_TIL_UDLAEGSFORRETNING;12;
;UDLAEG_OPGAVETYPE_UDLAEGSFORRETNING_FOGED;UDLAEG_UDLAEGSFORRETNING_FOGED;13;
;UDLAEG_OPGAVETYPE_UDLAEGSFORRETNING_KUNDE;UDLAEG_UDLAEGSFORRETNING_KUNDE;14;
;UDLAEG_OPGAVETYPE_UDLAEGSFORRETNING_KUNDE_OPFOELGNING_EJ_GENNEMFOERT_UDLAEG;UDLAEG_UDLAEGSFORRETNING_KUNDE_ELLER_ANDEN_OPFOELGNING_PAA_EJ_GENNEMFOERT_UDLAEG;15;
;UDLAEG_OPGAVETYPE_UDLAEGSFORRETNING_FOGED_VEDR_FORTRINSBERETTIGEDE_FORDRINGER;UDLAEG_UDLAEGSFORRETNING_FOGED_FORTRINSBERETTIGEDE_FORDRINGER;16;
;UDLAEG_OPGAVETYPE_RYK_ADMINISTRATOR_ADKOMSTERKLAERING;UDLAEG_RYK_ANDELSADMINISTRATOR_ADKOMSTERKLAERING;17;
;UDLAEG_OPGAVETYPE_ANMOD_FORLAENGELSE_FRIST_VEDR_TINGLYSNING_ANDELSBOLIG;UDLAEG_ANMOD_FORLAENGELSE_FRIST_VEDR_TINGLYSNING_ANDELSBOLIG;18;
;UDLAEG_OPGAVETYPE_VURDER_SVAR_TINGLYSNING;UDLAEG_VURDER_SVAR_FRA_TINGLYSNING;19;
;UDLAEG_OPGAVETYPE_FORAELDER_SNART;UDLAEG_AKTIV_FORAELDER_SNART;20;
;UDLAEG_OPGAVETYPE_AKTIV_FORAELDET;UDLAEG_AKTIV_FORAELDET;21;
;UDLAEG_OPGAVETYPE_UDLAEG_AFSLUTTET_AUTOMATISK;UDLAEG_UDLAEG_AFSLUTTET_AUTOMATISK;22;
;UDLAEG_OPGAVETYPE_UDLAEG_MANUEL_UDREDNING;UDLAEG_MANUEL_OPRYDNING;202;
;UDLAEG_OPGAVETYPE_UDLAEG_MEDDELELSE_TIL_POLITI_OM_ANMODNING_OM_POLITIFREMSTILLING_BLEV_IKKE_AFSENDT;UDLAEG_MEDDELELSE_ANMODNING_OM_POLITIFREMSTILLING_EJ_SENDT;249;
;UDLAEG_OPGAVETYPE_UDLAEG_MEDDELELSE_TIL_POLITI_OM_ANMODNING_OM_POLITIEFTERSÃ˜GNING_BLEV_IKKE_AFSENDT;UDLAEG_MEDDELELSE_ANMODNING_OM_POLITIEFTERSØGNING_EJ_SENDT;250;
RYKKER;RYKKER_OPGAVETYPE_BOOK_RESSOURCE;RYKKER_BOOK_RESSOURCE_TIL_TELEFON;23;
;RYKKER_OPGAVETYPE_SAGSBEHANDLER;RYKKER_SAGSBEHANDLING;267;
LOENINDEHOLDELSE;LOENINDEHOLDELSE_OPGAVETYPE_SAGSBEHANDLER_TIL_VURDERING_AF_YDERLIGERE_INDRIVELSE;LOENINDEHOLDELSE_BOOK_RESSOURCE_TIL_VURDERING_OM_YDERLIGERE_INDRIVELSE;24;
;LOENINDEHOLDELSE_OPGAVETYPE_SAGSBEHANDLER_TIL_OPFOELGNING_PAA_LOENINDEHOLDELSE;LOENINDEHOLDELSE_OPFOELGNING_PAA_LOENINDEHOLDELSE;25;
;LOENINDEHOLDELSE_OPGAVETYPE_MEDDELELSE_OM_FORHOEJET_LOENINDEHOLDELSESPROCENT;LOENINDEHOLDELSE_MEDDELELSE_FORHOEJET_LOENINDEHOLDELSESPROCENT;26;
;LOENINDEHOLDELSE_OPGAVETYPE_MEDDELELSE_OM_GENOPTAG_LOENINDEHOLDELSE;LOENINDEHOLDELSE_MEDDELELSE_GENOPTAG_LOENINDEHOLDELSE;27;
;LOENINDEHOLDELSE_OPGAVETYPE_VARSEL_OM_STIGNING_AF_LOENINDEHOLDELSE;LOENINDEHOLDELSE_MEDDELELSE_VARSEL_OM_STIGNING_AF_LOENINDEHOLDELSE;28;
;LOENINDEHOLDELSE_OPGAVETYPE_IVAERKSAET_STIGNING_AF_LOENINDEHOLDELSE;LOENINDEHOLDELSE_MEDDELELSE_IVAERKSAET_STIGNING_AF_LOENINDEHOLDELSE;29;
;LOENINDEHOLDELSE_OPGAVETYPE_MEDDELELSE_OM_NEDSAETTELSE_AF_LOENINDEHOLDELSESPROCENT;LOENINDEHOLDELSE_MEDDELELSE_NEDSAETTELSE_AF_LOENINDEHOLDELSESPROCENT;30;
;LOENINDEHOLDELSE_OPGAVETYPE_ANMOD_KUNDE_OM_LOENOPLYSNINGER;LOENINDEHOLDELSE_MEDDELELSE_ANMOD_KUNDE_OM_LOENOPLYSNINGER;31;
;LOENINDEHOLDELSE_OPGAVETYPE_NEDSAET_LOENINDEHOLDELSE;LOENINDEHOLDELSE_NEDSAET_LOENINDEHOLDELSE;32;
;LOENINDEHOLDELSE_OPGAVETYPE_MEDDELELESE_OM_YDERLIGERE_FORDRING;LOENINDEHOLDELSE_MEDDELELESE_YDERLIGERE_FORDRING;33;
;LOENINDEHOLDELSE_OPGAVETYPE_SAGSBEHANDLER_TIL_FORSKUDSREGISTRERING;LOENINDEHOLDELSE_BOOK_RESSOURCE_TIL_FORSKUDSREGISTRERING;34;
;LOENINDEHOLDELSE_OPGAVETYPE_VARSLING_FOR_LOENINDEHOLDELSE;LOENINDEHOLDELSE_MEDDELELSE_VARSEL_OM_LOENINDEHOLDELSE;35;
;LOENINDEHOLDELSE_OPGAVETYPE_MEDDELELSE_OM_IVAERKSAET_LOENINDEHOLDELSE;LOENINDEHOLDELSE_MEDDELELSE_IVAERKSAET_LOENINDEHOLDELSE;36;
;;LOENINDEHOLDELSE_BUDGETSKEMA_MODTAGET;259;
BOBEHANDLING;;BOB_DOEDSBO_AFSLUT_BOSAG;37;
;;BOB_DOEDSBO_DIVIDENDE_MODTAGET;38;
;;BOB_DOEDSBO_ER_BOET_AFSLUTTET;39;
;;BOB_DOEDSBO_BETALINGSFORSLAG_MODTAGET;40;
;;BOB_DOEDSBO_GAELD_INDFRIET;41;
;;BOB_DOEDSBO_KVITT_FRA_MEDHJAELPER;42;
;;BOB_DOEDSBO_OPRET_BOSAG_SEND_ANMELDELSE;43;
;;BOB_DOEDSBO_OPRET_PLUKOPGAVE;44;
;;BOB_DOEDSBO_MEDDELELSE_TIL_EFTERLADTE_OM_GAELD;45;
;;BOB_DOEDSBO_SVAR_FRA_DK_AMBASSADE;46;
;;BOB_DOEDSBO_SVAR_FRA_SKIFTERET;47;
;;BOB_EFTERGIVELSE_AFSLUT_BOSAG;48;
;;BOB_EFTERGIVELSE_OPHAEV_EFTERGIVELSE;49;
;;BOB_EFTERGIVELSE_DOKUMENTATION_MODTAGET;50;
;;BOB_EFTERGIVELSE_OPRET_EFTERGIVELSESANSOEGNING;51;
;;BOB_EFTERGIVELSE_UDARBEJD_REMONSTRATIONSUDTALELSE;52;
;;BOB_EFTERGIVELSE_OPRET_PLUKOPGAVE;53;
;;BOB_EFTERGIVELSE_SVAR_FRA_KLAGEINSTANS;54;
;;BOB_EFTERGIVELSE_OPFOELGNING_ESG_SAG;55;
;;BOB_GAELDSSANERING_AFSLUT_BOSAG;248;
;;BOB_GAELDSSANERING_GAELDSSANERINGSFORSLAG_MODTAGET;56;
;;BOB_GAELDSSANERING_KENDELSE_AFSAGT;57;
;;BOB_GAELDSSANERING_KVITT_RETUR_FRA_MEDHJAELPER;58;
;;BOB_GAELDSSANERING_OPRET_BOSAG_SEND_ANMELDELSE;59;
;;BOB_GAELDSSANERING_ANMOD_SKIFTERETTEN_OM_GENOPTAGELSE_ELLER_OHÆVELSE;60;
;;BOB_GAELDSSANERING_ANMOD_KAMMERADVOKAT_OM_KÆRESAG;61;
;;BOB_GAELDSSANERING_OPRET_PLUKOPGAVE;62;
;;BOB_GAELDSSANERING_SVAR_FRA_KAMMERADVOKAT;63;
;;BOB_GAELDSSANERING_SVAR_FRA_SKIFTERET;64;
;;BOB_INDGIVELSE_AF_KONKURSBEGAERING_AFSLUT_BOSAG;65;
;;BOB_INDGIVELSE_AF_KONKURSBEGAERING_DEKREFT_AFSAGT;66;
;;BOB_INDGIVELSE_AF_KONKURSBEGAERING_KVITT_RETUR_FRA_KAMMERADVOKAT_ELLER_SKIFTERET;67;
;;BOB_INDGIVELSE_AF_KONKURSBEGAERING_MEDDELELSE_KONKURSBEGAERING;68;
;;BOB_INDGIVELSE_AF_KONKURSBEGAERING_OPFOELGNING_VARSEL_OM_KONKURSBEGAERING;69;
;;BOB_INDGIVELSE_AF_KONKURSBEGAERING_OPRET_PLUKOPGAVE;70;
;;BOB_INDGIVELSE_AF_KONKURSBEGAERING_OPRET_BOSAG_SEND_VARSEL;71;
;;BOB_KONKURS_SELSKAB_AFSLUT_BOSAG;72;
;;BOB_KONKURS_SELSKAB_NEDSKRIV_FORDRING;73;
;;BOB_KONKURS_SELSKAB_MEDDELELSE_FOGED_HENT_TOLDDATAPLADER_REGISTRERINGSBEVIS;74;
;;BOB_KONKURS_SELSKAB_MEDDELELSE_MOTOR_LUK_KREDIT;75;
;;BOB_KONKURS_SELSKAB_CIRKULAERESKRIVELSE_MODTAGET;76;
;;BOB_KONKURS_SELSKAB_MEDDELELSE_COR_INDSAETTELSE_AF_LG_KRAV;77;
;;BOB_KONKURS_SELSKAB_DIVIDENDE_MODTAGET;78;
;;BOB_KONKURS_SELSKAB_SIKERHEDSSTILLELSE_MODTAGET;79;
;;BOB_KONKURS_SELSKAB_ANGIVELSE_OG_BETALING_MODTAGET_FRA_BOET;80;
;;BOB_KONKURS_SELSKAB_VISITER_SAG_BINDENDE_SVAR;81;
;;BOB_KONKURS_SELSKAB_MEDDELELSE_SAC_OM_SIKKERHEDSSTILLELSE;82;
;;BOB_KONKURS_SELSKAB_KONKURSSKATTEPLIGT_125,2;83;
;;BOB_KONKURS_SELSKAB_KVITT_RETUR_AF_ANMELDELSE;84;
;;BOB_KONKURS_SELSKAB_DRIFTNORM_AFSLUTTET;85;
;;BOB_KONKURS_SELSKAB_OPRET_BOSAG_SEND_ANMELDELSE;86;
;;BOB_KONKURS_SELSKAB_SEND_EFTERANMELDELSE_KURATOR;87;
;;BOB_KONKURS_SELSKAB_UDBETAL_MOMSREFUSION;88;
;;BOB_KONKURS_SELSKAB_UNDERSOEG_VOGNMANDSGARANTI;89;
;;BOB_KONKURS_SELSKAB_OPRET_PLUKOPGAVE;90;
;;BOB_KREDITORORDNING_AFSLUT_BOSAG;91;
;;BOB_KREDITORORDNING_NEDSKRIV_FORDRING;92;
;;BOB_KREDITORORDNING_DIVIDENDE_MODTAGET;93;
;;BOB_KREDITORORDNING_OPRET_BOSAG_SEND_KVITTERING;94;
;;BOB_KREDITORORDNING_OPRET_PLUKOPGAVE;95;
;;BOB_REKONSTRUKTION_AFSLUT_BOSAG;96;
;;BOB_REKONSTRUKTION_KVITT_RETUR_FRA_REKONSTRUKTOER;97;
;;BOB_REKONSTRUKTION_DIVIDENDE_MODTAGET;98;
;;BOB_REKONSTRUKTION_OPRET_BOSAG_SEND_ANMELDELSE;99;
;;BOB_REKONSTRUKTION_RESULTAT_AF_REKONSTRUKTION_MODTAGET;100;
;;BOB_REKONSTRUKTION_REKONSTRUKTIONSFORSLAG_MODTAGET;101;
;;BOB_REKONSTRUKTION_STATUS_PAA_SAG;102;
;;BOB_REKONSTRUKTION_OPRET_PLUKOPGAVE;103;
;;BOB_TVANGSOPLOESNING_AFSKRIV_FORDRING;104;
;;BOB_TVANGSOPLOESNING_DRIFTSFORM_AFSLUTTET;105;
;;BOB_TVANGSOPLOESNING_KVITT_RETUR_FRA_LIKVIDATOR;106;
;;BOB_TVANGSOPLOESNING_OPRET_BOSAG_SEND_ANMELDELSE;107;
;;BOB_TVANGSOPLOESNING_AFSLUT_BOSAG;108;
;;BOB_TVANGSOPLOESNING_DIVIDENDE_MODTAGET;109;
;;BOB_TVANGSOPLOESNING_OPRET_PLUKOPGAVE;110;
;;BOB_KONKURS_PERSONLIG_AFLSUT_BOSAG;111;
;;BOB_KONKURS_PERSONLIG_AFSKRIV_FORDRING;112;
;;BOB_KONKURS_PERSONLIG_MEDDELELSE_FOGED_HENT_TOLDDATAPLADER_REGISTRERINGSBEVIS;113;
;;BOB_KONKURS_PERSONLIG_MEDDELELSE_MOTOR_LUK_KREDIT;114;
;;BOB_KONKURS_PERSONLIG_CIRKULAERE_MODTAGET;115;
;;BOB_KONKURS_PERSONLIG_MEDDELELSE_COR_INDSAETTELSE_LG_KRAV;116;
;;BOB_KONKURS_PERSONLIG_DIVIDENDE_MODTAGET;117;
;;BOB_KONKURS_PERSONLIG_SIKKERHEDSSTILLELSE_MODTAGET;118;
;;BOB_KONKURS_PERSONLIG_ANGIVELSE_OG_BETALING_MODTAGET;119;
;;BOB_KONKURS_PERSONLIG_VISITER_SAG_BINDENDE_SVAR;120;
;;BOB_KONKURS_PERSONLIG_MEDDELELSE_SAC_OM_SIKKERHEDSSTILLELSE;121;
;;BOB_KONKURS_PERSONLIG_KONKURSSKATTEPLIGT_125,2;122;
;;BOB_KONKURS_PERSONLIG_KVITTERING_MODTAGET;123;
;;BOB_KONKURS_PERSONLIG_DRIFTNORM_AFSLUTTET;124;
;;BOB_KONKURS_PERSONLIG_OPRET_BOSAG_SEND_ANMELDELSE;125;
;;BOB_KONKURS_PERSONLIG_SEND_EFTERANMELDELSE_KURATOR;126;
;;BOB_KONKURS_PERSONLIG_UDBETAL_MOMSREFUSION;127;
;;BOB_KONKURS_PERSONLIG_UNDERSOEG_VOGNMANDSGARANTI;128;
;;BOB_KONKURS_PERSONLIG_OPRET_PLUKOPGAVE;129;
;;BOB_DOEDSBO_KLARGOER_BOSAG;203;
;;BOB_DOEDSBO_NY_FORDRING_TILFOEJET;204;
;;BOB_DOEDSBO_MEDDELELSE_IKKE_AFSENDT;205;
;;BOB_DOEDSBO_OPFOELGNING_PAA_CIRKULAERESKRIVELSE;206;
;;BOB_DOEDSBO_BETALINGSORDNING_MISLIGHOLDT;207;
;;BOB_EFTERGIVELSE_KLARGOER_BOSAG;208;
;;BOB_EFTERGIVELSE_NY_FORDRING_TILFOEJET;209;
;;BOB_EFTERGIVELSE_MEDDELELSE_IKKE_AFSENDT;210;
;;BOB_EFTERGIVELSE_OPFOELGNING_PAA_CIRKULAERESKRIVELSE;211;
;;BOB_EFTERGIVELSE_BETALINGSORDNING_MISLIGHOLDT;212;
;;BOB_GAELDSSANERING_KLARGOER_BOSAG;213;
;;BOB_GAELDSSANERING_NY_FORDRING_TILFOEJET;214;
;;BOB_GAELDSSANERING_MEDDELELSE_IKKE_AFSENDT;215;
;;BOB_GAELDSSANERING_OPFOELGNING_PAA_CIRKULAERESKRIVELSE;216;
;;BOB_GAELDSSANERING_BETALINGSORDNING_MISLIGHOLDT;217;
;;BOB_INDGIVELSE_AF_KONKURSBEGAERING_KLARGOER_BOSAG;218;
;;BOB_INDGIVELSE_AF_KONKURSBEGAERING_NY_FORDRING_TILFOEJET;219;
;;BOB_INDGIVELSE_AF_KONKURSBEGAERING_MEDDELELSE_IKKE_AFSENDT;220;
;;BOB_INDGIVELSE_AF_KONKURSBEGAERING_OPFOELGNING_PAA_CIRKULAERESKRIVELSE;221;
;;BOB_INDGIVELSE_AF_KONKURSBEGAERING_BETALINGSORDNING_MISLIGHOLDT;222;
;;BOB_KONKURS_SELSKAB_KLARGOER_BOSAG;223;
;;BOB_KONKURS_SELSKAB_NY_FORDRING_TILFOEJET;224;
;;BOB_KONKURS_SELSKAB_MEDDELELSE_IKKE_AFSENDT;225;
;;BOB_KONKURS_SELSKAB_OPFOELGNING_PAA_CIRKULAERESKRIVELSE;226;
;;BOB_KONKURS_SELSKAB_BETALINGSORDNING_MISLIGHOLDT;227;
;;BOB_KREDITORORDNING_KLARGOER_BOSAG;228;
;;BOB_KREDITORORDNING_NY_FORDRING_TILFOEJET;229;
;;BOB_KREDITORORDNING_MEDDELELSE_IKKE_AFSENDT;230;
;;BOB_KREDITORORDNING_OPFOELGNING_PAA_CIRKULAERESKRIVELSE;231;
;;BOB_KREDITORORDNING_BETALINGSORDNING_MISLIGHOLDT;232;
;;BOB_REKONSTRUKTION_KLARGOER_BOSAG;233;
;;BOB_REKONSTRUKTION_NY_FORDRING_TILFOEJET;234;
;;BOB_REKONSTRUKTION_MEDDELELSE_IKKE_AFSENDT;235;
;;BOB_REKONSTRUKTION_OPFOELGNING_PAA_CIRKULAERESKRIVELSE;236;
;;BOB_REKONSTRUKTION_BETALINGSORDNING_MISLIGHOLDT;237;
;;BOB_TVANGSOPLOESNING_KLARGOER_BOSAG;238;
;;BOB_TVANGSOPLOESNING_NY_FORDRING_TILFOEJET;239;
;;BOB_TVANGSOPLOESNING_MEDDELELSE_IKKE_AFSENDT;240;
;;BOB_TVANGSOPLOESNING_OPFOELGNING_PAA_CIRKULAERESKRIVELSE;241;
;;BOB_TVANGSOPLOESNING_BETALINGSORDNING_MISLIGHOLDT;242;
;;BOB_KONKURS_PERSONLIG_KLARGOER_BOSAG;243;
;;BOB_KONKURS_PERSONLIG_NY_FORDRING_TILFOEJET;244;
;;BOB_KONKURS_PERSONLIG_MEDDELELSE_IKKE_AFSENDT;245;
;;BOB_KONKURS_PERSONLIG_OPFOELGNING_PAA_CIRKULAERESKRIVELSE;246;
;;BOB_KONKURS_PERSONLIG_BETALINGSORDNING_MISLIGHOLDT;247;
BOEDEFORVANDLINGSSTRAF;;BOEDEFORVANDLINGSSTRAF_ANMOD_OM_AFSONING_AFLYST;130;
;;BOEDEFORVANDLINGSSTRAF_BOOK_RESSOURCE_ANMOD_AFSONING;131;
;;BOEDEFORVANDLINGSSTRAF_GENSEND_KORREKTION_TIL_POLITIET;132;
;;BOEDEFORVANDLINGSSTRAF_GENSEND_MEDDELELSE;133;
;;BOEDEFORVANDLINGSSTRAF_RYK_POLITI_FOR_AFSONING;134;
;;BOEDEFORVANDLINGSSTRAF_VARSEL_OM_AFSONING;135;
;;BOEDEFORVANDLINGSSTRAF_VURDER_KORREKTIONER;136;
BETALINGSORDNING;;BETALINGSORDNING_MEDDELELSE_AENDRING_AF_BETALINGSORDNING_BETALINGSEVNE_AENDRET;137;
;;BETALINGSORDNING_MEDDELELSE_AENDRING_AF_BETALINGSORDNING_NYE_FORDRINGER;138;
;;BETALINGSORDNING_MEDDELELSE_FRIVILLIG_BETALINGSORDNING;139;
;;BETALINGSORDNING_MEDDELELSE_TVUNGEN_BETALINGSORDNING;140;
;;BETALINGSORDNING_MEDDELELSE_RATEBELOEB_AENDRET;141;
;;BETALINGSORDNING_MEDDELELSE_OM_SKIFT_TIL_AUTOMATISK;142;
;;BETALINGSORDNING_BOOK_RESSOURCE_TIL_MEDDELELSESFEJL;143;
;;BETALINGSORDNING_BOOK_RESSOURCE_TIL_OPFOELGNING;144;
;;BETALINGSORDNING_BUDGETSKEMA_MODTAGET;260;
KUNDEMOEDE;;KUNDEMOEDE_OPRET_KUNDEMOEDE;145;
;;KUNDEMOEDE_BOOK_RESSOURCE_TIL_KUNDEMOEDE;146;
;;KUNDEMOEDE_BOOK_RESSOURCE_TIL_UDGAAENDE_KUNDEMOEDE;147;
;;KUNDEMOEDE_MEDDELELSE_OM_KUNDEMOEDE;148;
;;KUNDEMOEDE_BOOK_RESSOURCE_TIL_OPFOELGNING;149;
;;KUNDEMOEDE_MEDDELELSE_OM_KUNDEMOEDE_IKKE_AFSENDT;261;
;;KUNDEMOEDE_BOOKINGFEJL_VED_OPRET_KUNDEMOEDE;262;
MANUELSAGSBEHANDL;MAN_OPGAVETYPE_MEDDELELSE_IKKE_SENDT;;;
;MAN_OPGAVETYPE_BOOK_SAGSBEHANDLER_IGANGSAET;;;
;MAN_OPGAVETYPE_INDSATSENS_SALDO_ER_AENDRET;;;
;MAN_OPGAVETYPE_BOBEHANDLINGSOPLYSNINGER_MODTAGET;;;
;MAN_OPGAVETYPE_TELEFONOPGAVE;;;
;;MAN_AKTINDSIGT_SEND_AFGOERELSE;150;
;;MAN_ARREST_BOOK_GODKENDER_TIL_INDSTILLING;151;
;;MAN_ARREST_OPFOELGNING_SVAR_FRA_KAMMERADVOKAT;152;
;;MAN_ANMELDELSE_UDLÆG_OPFOELGNING_DENUNCIATION;153;
;;MAN_ANMELDELSE_UDLÆG_KVITT_RETUR_LUFTFARTOEJ;154;
;;MAN_ANMELDELSE_UDLÆG_KVITT_RETUR_SKIB ;155;
;;MAN_CIVILRETLIGE_FORD_OPFOELGNING_FRIVILLIGT_FORLIG_MODTAGET_RETUR ;156;
;;MAN_CIVILRETLIGE_FORD_OPFOELGNING_BETALINGSPAAKRAV;157;
;;MAN_CIVILRETLIGE_FORD_OPFOELGNING_UDLÆG_FORTAGET_AF_FOGEDRETTEN ;158;
;;MAN_CIVILRETLIGE_FORD_OPFOELGNING_CIVILT_SOEGSMAAL;159;
;;MAN_HAANDPANT_RESSOURCE_UDLEVERING_AKTIVER;160;
;;MAN_INDDRAGELSE_ERHVERVSREGISTRERING_OPFOELGNING_ANGIVELSER_MODTAGET;161;
;;MAN_INDDRAGELSE_ERHVERVSREGISTRERING_OPFOELGNING_RESTANCE_BETALT;162;
;;MAN_INDDRAGELSE_ERHVERVSREGISTRERING_OPFOELGNING_KREDITBEGRÆNSNING;163;
;;MAN_INDDRAGELSE_ERHVERVSREGISTRERING_OPFOELGNING_INDDRAGELSE_AF_REGISTRERING;164;
;;MAN_KLAGE_OVER_FORDRING_OPFOELGNING_SVAR_FRA_FORDRINGSHAVER;165;
;;MAN_KLAGE_OVER_FORDRING_OPFOELGNING_SVAR_FRA_FORDRINGSHAVER_EFTER_RYKKER;166;
;;MAN_KLAGE_AFGOERELSE_OVER_LOENHOLDELSE;167;
;;MAN_KLAGE_AFGOERELSE_OVER_BETALINGSORDNING;168;
;;MAN_KLAGE_AFGOERELSE_OVER_BETALINGSEVNEVURDERING;169;
;;MAN_KLAGE_AFGOERELSE_OVER_MODREGNING;170;
;;MAN_KLAGE_AFGOERELSE_OVER_EFTERGIVELSE ;171;
;;MAN_KLAGE_AFGOERELSE_OVER_ANDET;172;
;;MAN_KLAGE_AFGOERELSE_OPFOELGNING_SVAR_KLAGEINSTANS;173;
;;MAN_KLAGE_AFGOERELSE_OPFOELGNING ;174;
;;MAN_KLAGE_UDLÆG_OPFOELGNING_SVAR_FRA_FOGEDRETTEN;175;
;;MAN_RYKNINGSPAATEGNING_OPFOELGNING;176;
;;MAN_RYKNINGSPAATEGNING_INDBERETNING_ETINGLYSNING;177;
;;MAN_RYKNINGSPAATEGNING_OPFOELGNING_SALG_EJENDOM;178;
;;MAN_RYKNINGSPAATEGNING_AFLYS_EVT_TINGLYSNING;179;
;;MAN_RYKNINGSPAATEGNING_OPFOELGNING_FREMTIDIG_RESPEKT;180;
;;MAN_SKADELOES_TRANSPORT_MODTAGET_RETUR ;181;
;;MAN_SKADELOES_TRANSPORT_OPFOELGNING_KVITT_RETUR_FORDRINGSDEBITOR;182;
;;MAN_TVANGSSALG_ANDELSBOLIG_BOOK_GODKENDER_TIL_INDSTILLING;183;
;;MAN_TVANGSSALG_ANDELSBOLIG_OPFOELGNING_SVAR_FRA_GODKENDER;184;
;;MAN_TVANGSSALG_ANDELSBOLIG_OPFOELGNING_EFTER_VARSEL;185;
;;MAN_TVANGSSALG_ANDELSBOLIG_OPFOELGNING_SVAR_FRA_FOGEDRETTEN;186;
;;MAN_TVANGSSALG_DIVERSE_OPFOELGNING_EFTER_VARSEL;187;
;;MAN_TVANGSSALG_DIVERSE_BOOK_RESSOURCE_AFHENTNING_AKTIVER;188;
;;MAN_TVANGSSALG_DIVERSE_OPFOELGNING_SVAR_FRA_FOGEDRETTEN_VEDR_AKTIVER;189;
;;MAN_TVANGSSALG_DIVERSE_OPFOELGNING_SVAR_FRA_FOGEDRETTEN_VEDR_FONDSAKTIVER;190;
;;MAN_TVANGSSALG_FAST_EJENDOM_BOOK_GODKENDER_TIL_INDSTILLING;191;
;;MAN_TVANGSSALG_FAST_EJENDOM_OPFOELGNING_SVAR_FRA_GODKENDER;192;
;;MAN_TVANGSSALG_FAST_EJENDOM_OPFOELGNING_TVANGSAUKTION_EFTER_VARSEL;193;
;;MAN_TVANGSSALG_FAST_EJENDOM_OPFOELGNING_SVAR_FRA_ADVOKAT;194;
;;MAN_UDLAND_EFTER_VARSEL_OM_INDDRIVELSE_UDLAND;195;
;;MAN_UDLAND_OPFOELGNING_KVITT_RETUR_VEDR_OVERSENDELSE;196;
;;MAN_UDLAND_OPFOELGNING_SAGENS_FORLOEB ;197;
;;MAN_TELEFONINKASSO_BOOK_RESSOURCE;198;
;;MAN_TELEFONINKASSO_OPFOELGNING;199;
;;MAN_MAN_BOOK_RESSOURCE;200;
;;MAN_MAN_OPFOELGNING;201;
;;MAN_BOEDEFORVANDLINGSSTRAF_ANMOD_OM_AFSONING_AFLYST;268;
;;MAN_BOEDEFORVANDLINGSSTRAF_BOOK_RESSOURCE_ANMOD_AFSONING;269;
