MATRIX_NAME=INDSATSUNDERTYPE_LOVHENVISNING;;;;;;
MATRIX_DIMENSIONS=3;;;;;;
MATRIX_CELLTYPE=STRING;;;;;;
MATRIX_XTYPE=STRING;;;;;;
MATRIX_YTYPE=MEDDELSES_TYPE;;;;;;
MATRIX_ZTYPE=INDSATS_UNDER_TYPE;;;;;;
MATRIX_USE_DEFAULT=NO;;;;;;
MATRIX_DEFAULT=false;;;;;;
MATRIX_EMPTY_CELL_SIGN=-;;;;;;
;;*;FFEJDSK;LIERHVE;SGVOKSU;Lønindholdelsesgebyr
SAERSKILT_BETALINGSORDNING_FRIVILLIG;*;Bekendtgørelse xxx af xx. Xxxx;-;-;-;-
SAERSKILT_BETALINGSORDNING_KULANCEAFTALE;*;Bekendtgørelse xxx af xx. Xxxx;-;-;-;-
BOEDEFORVANDLSTRAF;*;Indsatsen har lovhjemmel i lov om inddrivelse af bøder og tvangsbøder;-;-;-;-
LOENINDHOLDELSE;Varsel om lønindeholdelse;Tekst...;-;-;-;-
LOENINDHOLDELSE;Iværksæt lønindeholdelse;Tekst 2...;-;-;-;-
LOENINDHOLDELSE;*;-;Lov nr 1333 af 19. december 2008 om opkrævning og inddrivelse af gæld til det offentlige § 10.;-;-;-
LOENINDHOLDELSE;Varsel om lønindeholdelse;-;-;Lov nr 1333 af 19. december 2008 om opkrævning og inddrivelse af gæld til det offentlige § 10.;-;-
LOENINDHOLDELSE;Varsel om lønindeholdelse;-;-;-;Lov nr 1333 af 19. december 2008 om opkrævning og inddrivelse af gæld til det offentlige § 10.;-
LOENINDHOLDELSE;Iværksæt lønindeholdelse;-;Lov nr 1333 af 19. december 2008 om opkrævning og inddrivelse af gæld til det offentlige § 10.;-;-;-
LOENINDHOLDELSE;Iværksæt lønindeholdelse;-;-;Lov nr 1333 af 19. december 2008 om opkrævning og inddrivelse af gæld til det offentlige § 10.;-;-
LOENINDHOLDELSE;Iværksæt lønindeholdelse;-;-;-;Lov nr 1333 af 19. december 2008 om opkrævning og inddrivelse af gæld til det offentlige § 10.;-
LOENINDHOLDELSE;Varsel om lønindeholdelse;-;Lov nr 1333 af 19. december 2008 om opkrævning og inddrivelse af gæld til det offentlige § 10.;-;-;-
LOENINDHOLDELSE;Varsel om lønindeholdelse;-;-;-;-;Lov nr 1333 af 19. december 2008 om opkrævning og inddrivelse af gæld til det offentlige § 10.
DØDSBO;Anmeldelse i dødsbo.;Ingen;-;-;-;-
DØDSBO;Oplysning om at efterladte hæfter for gælden.;Ingen;-;-;-;-
DØDSBO;Rykker for kvittering af vores anmeldelse;Ingen;-;-;-;-
DØDSBO;Send Efteranmeldelse af gæld til medhjælper;Ingen;-;-;-;-
DØDSBO;Send meddelelse til den danske ambassade i udlandet;Ingen;-;-;-;-
EFTERGIVELSE;Delvis eftergivelse.;INDOG § 13-15;-;-;-;-
EFTERGIVELSE;Afslag.;INDOG § 13-14;-;-;-;-
EFTERGIVELSE;Afvis klage - Klagefristen er overskredet (til kunde);INDOG § 13-13;-;-;-;-
EFTERGIVELSE;Anmodning om yderligere dokumentation.;INDOG § 13-12;-;-;-;-
EFTERGIVELSE;Ansøgning tilbagekaldt.;INDOG § 13-11;-;-;-;-
EFTERGIVELSE;Eftergivelsen ophævet.;INDOG § 13-10;-;-;-;-
EFTERGIVELSE;Forespørgsel om klagebehandling til klageinstans selvom fristen er overskredet.;INDOG § 13-9;-;-;-;-
EFTERGIVELSE;Hel eftergivelse. ;INDOG § 13-8;-;-;-;-
EFTERGIVELSE;Kvitteringsbrev for modtagelse af ansøgningen. ;INDOG § 13-7;-;-;-;-
EFTERGIVELSE;Meddelelse med ansøgningsskema sendes til kunde ;INDOG § 13-6;-;-;-;-
EFTERGIVELSE;Meddelelse til kunden om at vi fastholder vores afgørelse og sender sagen videre.;INDOG § 13-5;-;-;-;-
EFTERGIVELSE;Remonstrations udtalelse. (Evt. med bilag).;INDOG § 13-4;-;-;-;-
GÆLDSSANERING;Send Anmodning om genoptagelse eller ophævelse af kendelse til skifteretten;Ingen;-;-;-;-
GÆLDSSANERING;Send Anmodning til Kammeradvokaten om at stå for kære-sagen til Landsretten;Ingen;-;-;-;-
GÆLDSSANERING;Send Protest til skifteretten og medhjælper over forslaget eller afsigelse af kendelse;Ingen;-;-;-;-
GÆLDSSANERING;Anmeldelse i gælds-sanering - afskrives ved kendelse.;Ingen;-;-;-;-
GÆLDSSANERING;Anmeldelse i gælds-sanering - lønindeholdelsen fortsætter.;Ingen;-;-;-;-
GÆLDSSANERING;Anmeldelse i gælds-sanering.;Ingen;-;-;-;-
GÆLDSSANERING;Efteranmeldelse i gældssanering;Ingen;-;-;-;-
GÆLDSSANERING;Orienteringsbrev til fordringshaver om indledning af gældssanering.;Ingen;-;-;-;-
TVANGSOPLOESNING;Anmeldelse tvangsopløsning;Ingen;-;-;-;-
TVANGSOPLOESNING;Anmeldelse tvangsopløsningen uden restance;Ingen;-;-;-;-
TVANGSOPLOESNING;Anmeldelse tvangsopløsning med likvidator  ;Ingen;-;-;-;-
INDGIVELSE_AF_KONKURSBEGAERING;Indgivelse af konkursbegæring Kammeradvokaten;Ingen;-;-;-;-
INDGIVELSE_AF_KONKURSBEGAERING;indgivelse af konkursbegæring til skifteretten;Ingen;-;-;-;-
INDGIVELSE_AF_KONKURSBEGAERING;varsel af konkursbegæring ;Ingen;-;-;-;-
KONKURS_PERSONLIG;*;Ingen;-;-;-;-
KONKURS_SELSKABER;anmeldelse 1 i konkurs  ;Ingen;-;-;-;-
KONKURS_SELSKABER;anmeldelse 2 til kurator;Ingen;-;-;-;-
KONKURS_SELSKABER;Send mail til COR (intern interessent)  ;Ingen;-;-;-;-
KONKURS_SELSKABER;Send mail til SAC  (Intern interessent);Ingen;-;-;-;-
KONKURS_SELSKABER;Anmeldelse 1 i konkurs ;Ingen;-;-;-;-
KONKURS_SELSKABER;Anmeldelse 2 af restance til kurator;Ingen;-;-;-;-
KONKURS_SELSKABER;Konkursbehandling afsluttet;Ingen;-;-;-;-
REKONSTRUKTION;Anmeldelse i rekonstruktion  ;Ingen;-;-;-;-
REKONSTRUKTION;Rykker (til kunde) for manglende dividende ;Ingen;-;-;-;-
