MATRIX_NAME=OPGAVETYPE;;
MATRIX_DIMENSIONS=2;;
MATRIX_CELLTYPE=INTEGER;;
MATRIX_XTYPE=OPGAVETYPE;;
MATRIX_YTYPE=OpgavetypeID;;
MATRIX_ZTYPE=null;;
MATRIX_USE_DEFAULT=NO;;
MATRIX_DEFAULT=false;;
MATRIX_EMPTY_CELL_SIGN=-;;
;;OpgavetypeID
;BOB_KONKURS_SELSKAB_VISITER_SAG_BINDENDE_SVAR;81
;BOB_KONKURS_SELSKAB_MEDDELELSE_SAC_OM_SIKKERHEDSSTILLELSE;82
;BOB_KONKURS_SELSKAB_KONKURSSKATTEPLIGT_125,2;83
;BOB_KONKURS_SELSKAB_KVITT_RETUR_AF_ANMELDELSE;84
;BOB_KONKURS_SELSKAB_DRIFTNORM_AFSLUTTET;85
;BOB_KONKURS_SELSKAB_OPRET_BOSAG_SEND_ANMELDELSE;86
;BOB_KONKURS_SELSKAB_SEND_EFTERANMELDELSE_KURATOR;87
;BOB_KONKURS_SELSKAB_UDBETAL_MOMSREFUSION;88
;BOB_KONKURS_SELSKAB_UNDERSOEG_VOGNMANDSGARANTI;89
;BOB_KONKURS_SELSKAB_OPRET_PLUKOPGAVE;90
;BOB_KREDITORORDNING_AFSLUT_BOSAG;91
;BOB_KREDITORORDNING_NEDSKRIV_FORDRING;92
;BOB_KREDITORORDNING_DIVIDENDE_MODTAGET;93
;BOB_KREDITORORDNING_OPRET_BOSAG_SEND_KVITTERING;94
;BOB_KREDITORORDNING_OPRET_PLUKOPGAVE;95
;BOB_REKONSTRUKTION_AFSLUT_BOSAG;96
;BOB_REKONSTRUKTION_KVITT_RETUR_FRA_REKONSTRUKTOER;97
;BOB_REKONSTRUKTION_DIVIDENDE_MODTAGET;98
;BOB_REKONSTRUKTION_OPRET_BOSAG_SEND_ANMELDELSE;99
;BOB_REKONSTRUKTION_RESULTAT_AF_REKONSTRUKTION_MODTAGET;100
;BOB_REKONSTRUKTION_REKONSTRUKTIONSFORSLAG_MODTAGET;101
;BOB_REKONSTRUKTION_STATUS_PAA_SAG;102
;BOB_REKONSTRUKTION_OPRET_PLUKOPGAVE;103
;BOB_TVANGSOPLOESNING_AFSKRIV_FORDRING;104
;BOB_TVANGSOPLOESNING_DRIFTSFORM_AFSLUTTET;105
;BOB_TVANGSOPLOESNING_KVITT_RETUR_FRA_LIKVIDATOR;106
;BOB_TVANGSOPLOESNING_OPRET_BOSAG_SEND_ANMELDELSE;107
;BOB_TVANGSOPLOESNING_AFSLUT_BOSAG;108
;BOB_TVANGSOPLOESNING_DIVIDENDE_MODTAGET;109
;BOB_TVANGSOPLOESNING_OPRET_PLUKOPGAVE;110
;BOB_KONKURS_PERSONLIG_AFLSUT_BOSAG;111
;BOB_KONKURS_PERSONLIG_AFSKRIV_FORDRING;112
;BOB_KONKURS_PERSONLIG_MEDDELELSE_FOGED_HENT_TOLDDATAPLADER_REGISTRERINGSBEVIS;113
;BOB_KONKURS_PERSONLIG_MEDDELELSE_MOTOR_LUK_KREDIT;114
;BOB_KONKURS_PERSONLIG_CIRKULAERE_MODTAGET;115
;BOB_KONKURS_PERSONLIG_MEDDELELSE_COR_INDSAETTELSE_LG_KRAV;116
;BOB_KONKURS_PERSONLIG_DIVIDENDE_MODTAGET;117
;BOB_KONKURS_PERSONLIG_SIKKERHEDSSTILLELSE_MODTAGET;118
;BOB_KONKURS_PERSONLIG_ANGIVELSE_OG_BETALING_MODTAGET;119
;BOB_KONKURS_PERSONLIG_VISITER_SAG_BINDENDE_SVAR;120
;BOB_KONKURS_PERSONLIG_MEDDELELSE_SAC_OM_SIKKERHEDSSTILLELSE;121
;BOB_KONKURS_PERSONLIG_KONKURSSKATTEPLIGT_125,2;122
;BOB_KONKURS_PERSONLIG_KVITTERING_MODTAGET;123
;BOB_KONKURS_PERSONLIG_DRIFTNORM_AFSLUTTET;124
;BOB_KONKURS_PERSONLIG_OPRET_BOSAG_SEND_ANMELDELSE;125
;BOB_KONKURS_PERSONLIG_SEND_EFTERANMELDELSE_KURATOR;126
;BOB_KONKURS_PERSONLIG_UDBETAL_MOMSREFUSION;127
;BOB_KONKURS_PERSONLIG_UNDERSOEG_VOGNMANDSGARANTI;128
;BOB_KONKURS_PERSONLIG_OPRET_PLUKOPGAVE;129
;BOEDEFORVANDLINGSSTRAF_ANMOD_OM_AFSONING_AFLYST;130
;BOEDEFORVANDLINGSSTRAF_BOOK_RESSOURCE_ANMOD_AFSONING;131
;BOEDEFORVANDLINGSSTRAF_GENSEND_KORREKTION_TIL_POLITIET;132
;BOEDEFORVANDLINGSSTRAF_GENSEND_MEDDELELSE;133
;BOEDEFORVANDLINGSSTRAF_RYK_POLITI_FOR_AFSONING;134
;BOEDEFORVANDLINGSSTRAF_VARSEL_OM_AFSONING;135
;BOEDEFORVANDLINGSSTRAF_VURDER_KORREKTIONER;136
;BETALINGSORDNING_MEDDELELSE_OM_BETALINGSEVNE_AENDRET;137
;BETALINGSORDNING_MEDDELELSE_NYE_FORDRINGER;138
;BETALINGSORDNING_MEDDELELSE_FRIVILLIG_BETALINGSORDNING;139
;BETALINGSORDNING_MEDDELELSE_TVUNGEN_BETALINGSORDNING;140
;BETALINGSORDNING_MEDDELELSE_RATEBELOEB_AENDRET;141
;BETALINGSORDNING_MEDDELELSE_OM_SKIFT_TIL_AUTOMATISK;142
;BETALINGSORDNING_BOOK_RESSOURCE_TIL_MEDDELELSESFEJL;143
;BETALINGSORDNING_BOOK_RESSOURCE_TIL_OPFOELGNING;144
;KUNDEMOEDE_OPRET_KUNDEMØDE;145
;KUNDEMOEDE_BOOK_RESSOURCE_TIL_KUNDEMOEDE;146
;KUNDEMOEDE_BOOK_RESSOURCE_TIL_UDGAAENDE_KUNDEMOEDE;147
;KUNDEMOEDE_MEDDELELSE_OM_KUNDEMOEDE;148
;KUNDEMOEDE_BOOK_RESSOURCE_TIL_OPFOELGNING;149
;MS_AKTINDSIGT_SEND_AFGOERELSE;150
;MS_ARREST_BOOK_GODKENDER_TIL_INDSTILLING;151
;MS_ARREST_OPFOELGNING_SVAR_FRA_KAMMERADVOKAT;152
;MS_ANMELDELSE_UDLÆG_OPFOELGNING_DENUNCIATION;153
;MS_ANMELDELSE_UDLÆG_KVITT_RETUR_LUFTFARTOEJ;154
;MS_ANMELDELSE_UDLÆG_KVITT_RETUR_SKIB ;155
;MS_CIVILRETLIGE_FORD_OPFOELGNING_FRIVILLIGT_FORLIG_MODTAGET_RETUR ;156
;MS_CIVILRETLIGE_FORD_OPFOELGNING_BETALINGSPAAKRAV;157
;MS_CIVILRETLIGE_FORD_OPFOELGNING_UDLÆG_FORTAGET_AF_FOGEDRETTEN ;158
;MS_CIVILRETLIGE_FORD_OPFOELGNING_CIVILT_SOEGSMAAL;159
;MS_HAANDPANT_RESSOURCE_UDLEVERING_AKTIVER;160
;MS_INDDRAGELSE_ERHVERVSREGISTRERING_OPFOELGNING_ANGIVELSER_MODTAGET;161
;MS_INDDRAGELSE_ERHVERVSREGISTRERING_OPFOELGNING_RESTANCE_BETALT;162
;MS_INDDRAGELSE_ERHVERVSREGISTRERING_OPFOELGNING_KREDITBEGRÆNSNING;163
;MS_INDDRAGELSE_ERHVERVSREGISTRERING_OPFOELGNING_INDDRAGELSE_AF_REGISTRERING;164
;MS_KLAGE_OVER_FORDRING_OPFOELGNING_SVAR_FRA_FORDRINGSHAVER;165
;MS_KLAGE_OVER_FORDRING_OPFOELGNING_SVAR_FRA_FORDRINGSHAVER_EFTER_RYKKER;166
;MS_KLAGE_AFGOERELSE_OVER_LOENHOLDELSE;167
;MS_KLAGE_AFGOERELSE_OVER_BETALINGSORDNING;168
;MS_KLAGE_AFGOERELSE_OVER_BETALINGSEVNEVURDERING;169
;MS_KLAGE_AFGOERELSE_OVER_MODREGNING;170
;MS_KLAGE_AFGOERELSE_OVER_EFTERGIVELSE ;171
;MS_KLAGE_AFGOERELSE_OVER_ANDET;172
;MS_KLAGE_AFGOERELSE_OPFOELGNING_SVAR_KLAGEINSTANS;173
;MS_KLAGE_AFGOERELSE_OPFOELGNING ;174
;MS_KLAGE_UDLÆG_OPFOELGNING_SVAR_FRA_FOGEDRETTEN;175
;MS_RYKNINGSPAATEGNING_OPFOELGNING;176
;MS_RYKNINGSPAATEGNING_INDBERETNING_ETINGLYSNING;177
;MS_RYKNINGSPAATEGNING_OPFOELGNING_SALG_EJENDOM;178
;MS_RYKNINGSPAATEGNING_AFLYS_EVT_TINGLYSNING;179
;MS_RYKNINGSPAATEGNING_OPFOELGNING_FREMTIDIG_RESPEKT;180
;MS_SKADELOES_TRANSPORT_MODTAGET_RETUR ;181
;MS_SKADELOES_TRANSPORT_OPFOELGNING_KVITT_RETUR_FORDRINGSDEBITOR;182
;MS_TVANGSSALG_ANDELSBOLIG_BOOK_GODKENDER_TIL_INDSTILLING;183
;MS_TVANGSSALG_ANDELSBOLIG_OPFOELGNING_SVAR_FRA_GODKENDER;184
;MS_TVANGSSALG_ANDELSBOLIG_OPFOELGNING_EFTER_VARSEL;185
;MS_TVANGSSALG_ANDELSBOLIG_OPFOELGNING_SVAR_FRA_FOGEDRETTEN;186
;MS_TVANGSSALG_DIVERSE_OPFOELGNING_EFTER_VARSEL;187
;MS_TVANGSSALG_DIVERSE_BOOK_RESSOURCE_AFHENTNING_AKTIVER;188
;MS_TVANGSSALG_DIVERSE_OPFOELGNING_SVAR_FRA_FOGEDRETTEN_VEDR_AKTIVER;189
;MS_TVANGSSALG_DIVERSE_OPFOELGNING_SVAR_FRA_FOGEDRETTEN_VEDR_FONDSAKTIVER;190
;MS_TVANGSSALG_FAST_EJENDOM_BOOK_GODKENDER_TIL_INDSTILLING;191
;MS_TVANGSSALG_FAST_EJENDOM_OPFOELGNING_SVAR_FRA_GODKENDER;192
;MS_TVANGSSALG_FAST_EJENDOM_OPFOELGNING_TVANGSAUKTION_EFTER_VARSEL;193
;MS_TVANGSSALG_FAST_EJENDOM_OPFOELGNING_SVAR_FRA_ADVOKAT;194
;MS_UDLAND_EFTER_VARSEL_OM_INDDRIVELSE_UDLAND;195
;MS_UDLAND_OPFOELGNING_KVITT_RETUR_VEDR_OVERSENDELSE;196
;MS_UDLAND_OPFOELGNING_SAGENS_FORLOEB ;197
;MS_TELEFONINKASSO_BOOK_RESSOURCE;198
;MS_TELEFONINKASSO_OPFOELGNING;199
;MS_MS_BOOK_RESSOURCE;200
;MS_MS_OPFOELGNING;201
